number,formula,fit_type,density[g/cm3],temp_min[K],temp_max[K],c0,c1,c2,c3,c4,std_dev[kJ/mol]
1,Al2O3[s],5,3.970E+00,,,3.688E+05,-7.750E+00,-4.322E+01,7.534E-03,-7.641E-07,5.400E-01
2,Al2O3[l],5,2.780E+00,,,3.642E+05,-1.636E+00,-8.133E+01,2.510E-03,3.189E-08,1.800E+00
3,MgAl2O4[s],5,3.580E+00,,,4.909E+05,-1.018E+01,-6.096E+01,1.008E-02,-9.217E-07,5.700E-01
4,MgAl2O4[l],5,2.750E+00,,,4.705E+05,-1.351E+00,-1.085E+02,2.769E-03,-7.790E-08,8.600E-01
5,TiO2[s],3,4.230E+00,,4.047E+03,-7.704E+04,4.031E+01,-2.591E-03,6.024E-07,-6.869E-11,4.000E-02
6,TiO2[l],3,3.400E+00,,,-7.078E+04,3.680E+01,-1.292E-03,-6.878E-08,1.894E-11,2.000E-02
7,Ti4O7[s],2,4.190E+00,,,1.858E+06,-7.062E+06,1.704E+03,-4.670E-02,4.715E-06,9.000E-02
8,Ti4O7[l],2,3.400E+00,,,5.064E+06,-6.892E+06,1.641E+03,-5.937E-02,4.649E-06,4.300E-01
9,Mg2SiO4[s],2,3.210E+00,,5.298E+03,1.701E+06,-3.932E+06,1.046E+03,-1.773E-02,7.184E-07,1.400E-01
10,Mg2SiO4[l],2,2.600E+00,,,3.263E+06,-3.877E+06,1.032E+03,-2.486E-02,1.677E-06,1.500E-01
11,MgSiO3[s],2,3.190E+00,,,1.061E+06,-2.904E+06,7.577E+02,-1.370E-02,1.518E-06,1.300E+00
12,MgSiO3[l],2,2.600E+00,,,2.947E+06,-2.861E+06,7.530E+02,-2.557E-02,2.362E-06,1.500E-01
13,Fe[s],3,7.870E+00,,,-4.996E+04,3.214E+01,6.684E-04,-1.138E-06,2.573E-10,5.000E-02
14,Fe[l],3,6.980E+00,,,-4.877E+04,3.264E+01,-1.383E-03,1.097E-07,0.000E+00,3.000E-02
15,Fe2SiO4[s],5,4.390E+00,,,4.496E+05,-9.271E+00,-6.615E+01,1.041E-02,-1.092E-06,3.800E-01
16,FeS[s],3,4.830E+00,,,-5.699E+04,3.868E+01,-4.683E-03,1.036E-06,-8.429E-11,8.000E-02
17,FeS[l],3,3.900E+00,,,-5.261E+04,3.461E+01,-3.551E-03,7.592E-07,-6.947E-11,8.000E-02
18,MgTi2O5[s],2,4.640E+00,,5.318E+03,2.127E+06,-4.866E+06,1.216E+03,-2.342E-02,8.397E-07,4.000E-01
19,MgTi2O5[l],2,3.700E+00,,,5.495E+06,-4.758E+06,1.186E+03,-4.083E-02,3.084E-06,3.200E-01
20,C[s],4,2.270E+00,,,3.279E+01,-8.651E+04,4.804E-01,0.000E+00,0.000E+00,6.000E-02
21,TiC[s],2,4.930E+00,,6.425E+03,1.119E+05,-1.376E+06,3.207E+02,-4.634E-03,1.853E-07,3.200E-01
22,TiC[l],2,3.900E+00,,,5.342E+05,-1.303E+06,3.013E+02,-6.616E-03,5.211E-07,3.000E-02
23,SiC[s],2,3.210E+00,,,6.733E+05,-1.244E+06,3.218E+02,-4.544E-03,2.697E-07,7.000E-02
24,SiO[s],10,2.180E+00,,,-4.952E+04,3.252E+01,,,,
25,SiO2[s],3,2.650E+00,,,-7.281E+04,3.653E+01,-2.561E-04,-5.250E-07,1.533E-10,8.000E-02
